date,cash,holdings_value,total_asset
2022-03-17,2.1446799989789724,24950097.66,24950099.804679997
2022-03-18,2.1446799989789724,26566917.49,26566919.634679995
2022-03-19,2.1446799989789724,26566917.49,26566919.634679995
2022-03-20,2.1446799989789724,26566917.49,26566919.634679995
2022-03-21,2.1446799989789724,25902178.540000003,25902180.68468
2022-03-22,2.1446799989789724,26629875.29,26629877.43468
2022-03-23,2.1446799989789724,26876176.349999998,26876178.494679995
2022-03-24,2.1446799989789724,26434238.029999997,26434240.174679995
2022-03-25,2.1446799989789724,25830048.900000002,25830051.04468
2022-03-26,2.1446799989789724,25830048.900000002,25830051.04468
2022-03-27,2.1446799989789724,25830048.900000002,25830051.04468
2022-03-28,2.1446799989789724,25831424.77,25831426.914679997
2022-03-29,2.1446799989789724,25432877.33,25432879.47468
2022-03-30,2.1446799989789724,26743861.19,26743863.33468
2022-03-31,2.1446799989789724,26341534.29,26341536.43468
2022-04-01,2.1446799989789724,26387888.49,26387890.634679995
2022-04-02,2.1446799989789724,26387888.49,26387890.634679995
2022-04-03,2.1446799989789724,26387888.49,26387890.634679995
2022-04-04,2.1446799989789724,27038292.82,27038294.96468
2022-04-05,2.1446799989789724,27038292.82,27038294.96468
2022-04-06,2.1446799989789724,26728564.259999994,26728566.40467999
2022-04-07,2.1446799989789724,26146040.08,26146042.22468
2022-04-08,2.1446799989789724,26561003.839999996,26561005.984679997
2022-04-09,2.1446799989789724,26561003.839999996,26561005.984679997
2022-04-10,2.1446799989789724,26561003.839999996,26561005.984679997
2022-04-11,2.1446799989789724,25469987.46,25469989.60468
2022-04-12,2.1446799989789724,25389589.060000002,25389591.204680003
2022-04-13,2.1446799989789724,25524522.009999998,25524524.15468
2022-04-14,2.1446799989789724,25927643.16,25927645.304679997
2022-04-15,2.1446799989789724,25927643.16,25927645.304679997
2022-04-16,2.1446799989789724,25927643.16,25927645.304679997
2022-04-17,2.1446799989789724,25927643.16,25927645.304679997
2022-04-18,2.1446799989789724,25927643.16,25927645.304679997
2022-04-19,2.1446799989789724,25554578.839999996,25554580.984679997
2022-04-20,2.1446799989789724,25461543.92,25461546.064680003
2022-04-21,2.1446799989789724,24881422.16,24881424.304679997
2022-04-22,1257499.909079999,23689709.190000005,24947209.099080004
2022-04-23,1257499.909079999,23689709.190000005,24947209.099080004
2022-04-24,1257499.909079999,23689709.190000005,24947209.099080004
2022-04-25,1257499.909079999,22719790.849999998,23977290.759079996
2022-04-26,1257499.909079999,22625213.44,23882713.34908
2022-04-27,2771981.096639999,21557835.91,24329817.00664
2022-04-28,2771981.096639999,22006681.15,24778662.246639997
2022-04-29,2771981.096639999,22423707.07,25195688.16664
2022-04-30,2771981.096639999,22423707.07,25195688.16664
2022-05-01,2771981.096639999,22423707.07,25195688.16664
2022-05-02,2771981.096639999,22423707.07,25195688.16664
2022-05-03,2771981.096639999,22515795.39,25287776.48664
2022-05-04,2771981.096639999,22434995.23,25206976.32664
2022-05-05,2771981.096639999,22325003.560000002,25096984.65664
2022-05-06,2771981.096639999,21621641.799999997,24393622.896639995
2022-05-07,2771981.096639999,21621641.799999997,24393622.896639995
2022-05-08,2771981.096639999,21621641.799999997,24393622.896639995
2022-05-09,2771981.096639999,21621641.799999997,24393622.896639995
2022-05-10,4307538.72684,19580700.69,23888239.416840002
2022-05-11,4307538.72684,19744197.95,24051736.67684
2022-05-12,4307538.72684,19382556.11,23690094.83684
2022-05-13,7435094.56986,16596399.21,24031493.77986
2022-05-14,7435094.56986,16596399.21,24031493.77986
2022-05-15,7435094.56986,16596399.21,24031493.77986
2022-05-16,7435094.56986,16739705.250000002,24174799.819860004
2022-05-17,7435094.56986,16925120.41,24360214.97986
2022-05-18,7435094.56986,17110779.42,24545873.989860002
2022-05-19,7435094.56986,17051885.32,24486979.88986
2022-05-20,7435094.56986,17206998.2,24642092.76986
2022-05-21,7435094.56986,17206998.2,24642092.76986
2022-05-22,7435094.56986,17206998.2,24642092.76986
2022-05-23,7435094.56986,17086133.64,24521228.20986
2022-05-24,7435094.56986,16807223.65,24242318.21986
2022-05-25,8736013.517860001,15656227.209999999,24392240.72786
2022-05-26,8736013.517860001,15579605.98,24315619.49786
2022-05-27,8736013.517860001,15610997.219999999,24347010.73786
2022-05-28,8736013.517860001,15610997.219999999,24347010.73786
2022-05-29,8736013.517860001,15610997.219999999,24347010.73786
2022-05-30,8736013.517860001,15621966.7,24357980.21786
2022-05-31,10330611.2113,14510438.979999999,24841050.191299997
2022-06-01,10330611.2113,14509861.049999999,24840472.261299998
2022-06-02,10330611.2113,14296275.18,24626886.3913
2022-06-03,10330611.2113,14296275.18,24626886.3913
2022-06-04,10330611.2113,14296275.18,24626886.3913
2022-06-05,10330611.2113,14296275.18,24626886.3913
2022-06-06,10330611.2113,14408692.36,24739303.5713
2022-06-07,11981764.66654,12661199.290000001,24642963.956540003
2022-06-08,11981764.66654,12771534.109999998,24753298.776539996
2022-06-09,11981764.66654,12489317.54,24471082.20654
2022-06-10,11981764.66654,12471355.96,24453120.62654
2022-06-11,11981764.66654,12471355.96,24453120.62654
2022-06-12,11981764.66654,12471355.96,24453120.62654
2022-06-13,11981764.66654,12380996.200000001,24362760.86654
2022-06-14,11981764.66654,12436662.219999999,24418426.88654
2022-06-15,11981764.66654,12556717.79,24538482.45654
2022-06-16,11981764.66654,12079618.92,24061383.58654
2022-06-17,11981764.66654,12191910.05,24173674.71654
2022-06-18,11981764.66654,12191910.05,24173674.71654
2022-06-19,11981764.66654,12191910.05,24173674.71654
2022-06-20,11981764.66654,12383138.090000002,24364902.75654
2022-06-21,11981764.66654,12420317.79,24402082.45654
2022-06-22,11981764.66654,12305030.229999999,24286794.89654
2022-06-23,13808910.75114,10634605.87,24443516.62114
2022-06-24,13808910.75114,10969790.65,24778701.40114
2022-06-25,13808910.75114,10969790.65,24778701.40114
2022-06-26,13808910.75114,10969790.65,24778701.40114
2022-06-27,13808910.75114,11106429.020000001,24915339.77114
2022-06-28,13808910.75114,11215334.780000001,25024245.53114
2022-06-29,13808910.75114,10831984.24,24640894.99114
2022-06-30,13808910.75114,10985903.95,24794814.70114
2022-07-01,13808910.75114,10985903.95,24794814.70114
2022-07-02,13808910.75114,10985903.95,24794814.70114
2022-07-03,13808910.75114,10985903.95,24794814.70114
2022-07-04,13808910.75114,10819260.92,24628171.67114
2022-07-05,13808910.75114,10729008.319999998,24537919.07114
2022-07-06,13808910.75114,10673555.12,24482465.87114
2022-07-07,13808910.75114,10920272.46,24729183.21114
2022-07-08,13808910.75114,11107417.63,24916328.38114
2022-07-09,13808910.75114,11107417.63,24916328.38114
2022-07-10,13808910.75114,11107417.63,24916328.38114
2022-07-11,13808910.75114,10995524.89,24804435.64114
2022-07-12,13808910.75114,10795469.28,24604380.03114
2022-07-13,13808910.75114,10697528.18,24506438.93114
2022-07-14,13808910.75114,10594647.34,24403558.091140002
2022-07-15,13808910.75114,10500982.2,24309892.95114
2022-07-16,13808910.75114,10500982.2,24309892.95114
2022-07-17,13808910.75114,10500982.2,24309892.95114
2022-07-18,15416863.28138,8973890.959999999,24390754.24138
2022-07-19,15416863.28138,8858032.97,24274896.25138
2022-07-20,15416863.28138,8859649.2,24276512.48138
2022-07-21,15416863.28138,8802419.63,24219282.91138
2022-07-22,15416863.28138,8730180.74,24147044.02138
2022-07-23,15416863.28138,8730180.74,24147044.02138
2022-07-24,15416863.28138,8730180.74,24147044.02138
2022-07-25,15416863.28138,8666446.07,24083309.351379998
2022-07-26,15416863.28138,8767117.45,24183980.73138
2022-07-27,15416863.28138,8653306.61,24070169.891379997
2022-07-28,15416863.28138,8675996.219999999,24092859.501379997
2022-07-29,15416863.28138,8588154.18,24005017.461379997
2022-07-30,15416863.28138,8588154.18,24005017.461379997
2022-07-31,15416863.28138,8588154.18,24005017.461379997
2022-08-01,15416863.28138,8757068.31,24173931.59138
2022-08-02,15416863.28138,8588418.209999999,24005281.49138
2022-08-03,16935557.08682,7123164.32,24058721.40682
2022-08-04,18406633.92704,5744051.119999999,24150685.04704
2022-08-05,18406633.92704,5693074.4,24099708.32704
2022-08-06,18406633.92704,5693074.4,24099708.32704
