stockno,entry_date,entry_price,exit_date,exit_price,hold_days,profit_rate,max_float_rate,max_float_date,min_float_rate,min_float_date,exit_type
01810,2022-03-17,14.5,2022-04-22,11.3,36,-0.22380067451304286,0.0193103448275862,2022-03-23,-0.20551724137931038,2022-04-21,Normal_Sell
00992,2022-03-17,7.04,2022-04-27,6.41,41,-0.09312341226637622,0.16619318181818188,2022-04-04,-0.07954545454545447,2022-04-26,Normal_Sell
01299,2022-03-17,75.38,2022-05-10,69.59,54,-0.08049621108009497,0.05505439108516863,2022-04-08,-0.07495356858583169,2022-05-06,Normal_Sell
02628,2022-03-17,10.31,2022-05-13,9.66,57,-0.06678592378773007,0.047526673132880726,2022-04-04,-0.06498545101842867,2022-04-27,Normal_Sell
03993,2022-03-17,3.53,2022-05-13,3.33,57,-0.060423063221997864,0.23229461756373926,2022-04-14,-0.056657223796033884,2022-05-12,Normal_Sell
01928,2022-03-17,17.9,2022-05-25,14.0,69,-0.22099934209792693,0.07932960893854757,2022-03-30,-0.21787709497206698,2022-05-24,Normal_Sell
02007,2022-03-17,4.84,2022-05-31,4.64,75,-0.04514937068012759,0.334710743801653,2022-04-08,-0.16115702479338845,2022-05-12,Normal_Sell
03323,2022-03-17,6.83,2022-06-07,6.78,82,-0.011283436056145346,0.2342606149341142,2022-04-08,-0.007320644216691097,2022-06-06,Normal_Sell
00386,2022-03-17,2.64,2022-06-23,2.9,98,0.09409967942902075,0.21969696969696972,2022-06-08,0.0,2022-03-17,Normal_Sell
00189,2022-03-17,8.11,2022-07-18,7.84,123,-0.03715134465963266,0.27496917385943287,2022-06-15,-0.11344019728729948,2022-04-26,Normal_Sell
00751,2022-03-17,3.68,2022-08-03,3.36,139,-0.09060140588388443,0.17391304347826098,2022-07-11,-0.1059782608695653,2022-04-11,Normal_Sell
00836,2022-03-17,13.67,2022-08-04,12.09,140,-0.11911217798492257,0.12289685442574982,2022-07-07,-0.12216532553035842,2022-05-06,Normal_Sell
00175,2022-03-17,11.77,2022-09-06,13.37,173,0.13140414158937852,0.546304163126593,2022-06-28,-0.13593882752761255,2022-04-25,Normal_Sell
03323,2022-10-06,5.64,2022-10-31,4.18,25,-0.26182386999051543,0.0,2022-10-06,-0.2606382978723404,2022-10-28,Normal_Sell
00902,2022-10-06,3.3,2022-12-23,3.02,78,-0.08850178431016753,0.12424242424242427,2022-10-18,-0.1969696969696969,2022-11-02,Normal_Sell
03800,2022-11-02,2.06,2023-01-04,1.91,63,-0.0765168691742728,0.14563106796116498,2022-11-15,-0.07766990291262144,2022-12-30,Normal_Sell
00884,2022-10-06,0.83,2023-02-09,1.04,126,0.24801000408820917,0.9759036144578312,2022-12-09,-0.5301204819277108,2022-11-01,Normal_Sell
00939,2022-10-06,3.99,2023-02-16,4.19,133,0.04593319626411341,0.12030075187969902,2023-01-27,-0.1177944862155389,2022-11-03,Normal_Sell
01398,2022-10-06,3.26,2023-02-17,3.41,134,0.041836572254264626,0.128834355828221,2023-01-27,-0.11042944785276065,2022-11-03,Normal_Sell
00175,2022-10-06,10.79,2023-02-27,10.08,144,-0.06953100286914582,0.17516218721038013,2023-02-01,-0.2548656163113995,2022-10-28,Normal_Sell
02007,2022-10-06,1.96,2023-02-27,2.53,144,0.28566336714326446,0.6632653061224489,2022-11-14,-0.48469387755102045,2022-10-31,Normal_Sell
02380,2022-10-06,2.87,2023-02-28,2.8,145,-0.028284893627379404,0.24390243902439024,2023-01-06,-0.27177700348432066,2022-10-31,Normal_Sell
03988,2022-10-06,2.27,2023-02-28,2.5,145,0.09692509254618531,0.1541850220264318,2023-01-27,-0.048458149779735615,2022-11-03,Normal_Sell
02333,2022-10-06,8.61,2023-03-13,8.46,158,-0.02134407143900341,0.36469221835075505,2023-02-23,-0.21602787456445993,2022-10-13,Normal_Sell
01810,2022-10-06,9.43,2023-03-15,11.2,160,0.1829575208014511,0.4506892895015906,2023-02-02,-0.10392364793213149,2022-10-24,Normal_Sell
01171,2023-01-09,8.49,2023-03-17,8.03,67,-0.05795711286496508,0.15783274440518258,2023-01-16,-0.06360424028268552,2023-03-16,Normal_Sell
02020,2023-02-20,101.52,2023-04-26,92.3,65,-0.09444900584960891,0.11662726556343572,2023-03-30,-0.08215130023640649,2023-04-25,Normal_Sell
00700,2023-02-28,346.72,2023-05-10,321.91,71,-0.07526266111063529,0.10221504383940938,2023-04-03,-0.06757614213197971,2023-05-09,Normal_Sell
00241,2023-02-10,6.21,2023-05-17,5.08,96,-0.18523018375487343,0.027375201288244666,2023-03-24,-0.18679549114331728,2023-05-12,Normal_Sell
00992,2022-10-06,5.41,2023-05-25,6.85,231,0.26111916647296907,0.5563770794824399,2023-04-17,-0.05914972273567476,2022-10-13,Normal_Sell
00001,2023-02-17,42.88,2023-05-30,45.37,102,0.053845201388268205,0.14505597014925375,2023-05-04,-0.01585820895522383,2023-02-28,Normal_Sell
00291,2023-04-27,60.02,2023-05-30,48.17,33,-0.20063804413831454,0.0,2023-04-27,-0.20076641119626792,2023-05-29,Normal_Sell
00669,2023-03-01,75.85,2023-05-30,71.68,90,-0.05874947534068309,0.10784442979564934,2023-04-03,-0.05497692814765964,2023-05-29,Normal_Sell
03311,2023-03-31,8.18,2023-05-30,8.26,60,0.005748893411221534,0.17481662591687042,2023-05-04,-0.004889975550122161,2023-04-01,Normal_Sell
01918,2022-03-17,4.51,2023-05-31,1.23,440,-0.7283614589003811,0.40133037694013307,2022-03-18,-0.7560975609756098,2023-05-29,Normal_Sell
02628,2023-03-14,12.12,2023-05-31,12.23,78,0.005047660454668312,0.19141914191419152,2023-05-08,-0.05775577557755773,2023-03-30,Normal_Sell
01288,2022-10-06,2.09,2023-06-01,2.5,238,0.19139711008604832,0.33492822966507196,2023-05-08,-0.09090909090909094,2022-11-03,Normal_Sell
00006,2023-03-23,37.38,2023-06-02,39.1,71,0.04183820694619311,0.11851257356875333,2023-05-16,0.0,2023-03-23,Normal_Sell
00728,2023-01-03,2.83,2023-06-21,3.61,169,0.27052608563791125,0.46289752650176674,2023-05-08,0.0,2023-01-03,Normal_Sell
00386,2023-03-02,3.63,2023-06-26,4.11,116,0.12771151911053935,0.3168044077134988,2023-05-08,0.0,2023-03-02,Normal_Sell
00020,2023-06-05,2.24,2023-07-12,1.8,37,-0.1996364414029086,0.0401785714285714,2023-06-13,-0.2008928571428572,2023-07-11,Normal_Sell
02007,2023-06-05,1.53,2023-07-19,1.37,44,-0.10814971364460613,0.22222222222222232,2023-06-15,-0.0980392156862746,2023-07-18,Normal_Sell
03323,2023-06-05,4.38,2023-07-24,4.08,49,-0.07221174090175808,0.0730593607305936,2023-06-16,-0.08219178082191791,2023-07-11,Normal_Sell
01093,2023-06-05,6.36,2023-08-08,5.59,64,-0.12457788824866001,0.06446540880503138,2023-06-20,-0.11006289308176098,2023-08-07,Normal_Sell
06878,2023-06-05,0.84,2023-08-14,0.72,70,-0.1462788708297691,0.19047619047619047,2023-06-16,-0.15476190476190477,2023-06-21,Normal_Sell
00836,2023-03-01,14.68,2023-08-15,15.13,167,0.026539563923923204,0.1573569482288828,2023-05-11,-0.023160762942779245,2023-03-14,Normal_Sell
01928,2023-05-11,25.8,2023-08-21,26.0,102,0.003728976156214703,0.193798449612403,2023-07-28,-0.04263565891472876,2023-05-25,Normal_Sell
02601,2023-07-26,18.08,2023-08-23,16.21,28,-0.10700832847579145,0.09457964601769908,2023-07-31,-0.09955752212389368,2023-08-22,Normal_Sell
02343,2023-06-05,2.19,2023-08-24,2.04,80,-0.07221174090175808,0.13242009132420085,2023-07-28,-0.07305936073059371,2023-08-11,Normal_Sell
