date,cash,holdings_value,total_asset
2022-03-17,2.1446799989789724,24950097.66,24950099.804679997
2022-03-18,2.1446799989789724,26566917.49,26566919.634679995
2022-03-19,2.1446799989789724,26566917.49,26566919.634679995
2022-03-20,2.1446799989789724,26566917.49,26566919.634679995
2022-03-21,2.1446799989789724,25902178.540000003,25902180.68468
2022-03-22,1695596.5099799992,24898555.39,26594151.89998
2022-03-23,1695596.5099799992,25119712.8,26815309.30998
2022-03-24,1695596.5099799992,24781941.03,26477537.53998
2022-03-25,3502765.0297799995,22339954.43,25842719.45978
2022-03-26,3502765.0297799995,22339954.43,25842719.45978
2022-03-27,3502765.0297799995,22339954.43,25842719.45978
2022-03-28,5062666.195339999,20876472.57,25939138.76534
2022-03-29,6978262.704579999,19172153.22,26150415.924579997
2022-03-30,6978262.704579999,19729397.900000002,26707660.60458
2022-03-31,6978262.704579999,19507766.23,26486028.93458
2022-04-01,6978262.704579999,19563384.05,26541646.75458
2022-04-02,6978262.704579999,19563384.05,26541646.75458
2022-04-03,6978262.704579999,19563384.05,26541646.75458
2022-04-04,8596394.794899998,18514288.79,27110683.5849
2022-04-05,8596394.794899998,18514288.79,27110683.5849
2022-04-06,8596394.794899998,18225110.69,26821505.484899998
2022-04-07,8596394.794899998,17904083.44,26500478.234899998
2022-04-08,11895315.0323,14877224.170000002,26772539.2023
2022-04-09,11895315.0323,14877224.170000002,26772539.2023
2022-04-10,11895315.0323,14877224.170000002,26772539.2023
2022-04-11,11895315.0323,14317962.31,26213277.342299998
2022-04-12,14983241.762379998,11179937.760000002,26163179.52238
2022-04-13,17000545.309899997,9321838.709999999,26322384.019899994
2022-04-14,17000545.309899997,9405565.91,26406111.219899997
2022-04-15,17000545.309899997,9405565.91,26406111.219899997
2022-04-16,17000545.309899997,9405565.91,26406111.219899997
2022-04-17,17000545.309899997,9405565.91,26406111.219899997
2022-04-18,17000545.309899997,9405565.91,26406111.219899997
2022-04-19,17000545.309899997,9248217.84,26248763.149899997
2022-04-20,17000545.309899997,9096253.04,26096798.349899996
2022-04-21,18866007.768179998,7148707.96,26014715.72818
2022-04-22,18866007.768179998,7123792.699999999,25989800.468179997
2022-04-23,18866007.768179998,7123792.699999999,25989800.468179997
2022-04-24,18866007.768179998,7123792.699999999,25989800.468179997
2022-04-25,20713106.727059998,5042747.46,25755854.18706
2022-04-26,23865443.069759995,1856060.22,25721503.289759994
2022-04-27,23865443.069759995,1856060.22,25721503.289759994
2022-04-28,23865443.069759995,1887625.87,25753068.939759996
2022-04-29,23865443.069759995,1893939.0,25759382.069759995
2022-04-30,23865443.069759995,1893939.0,25759382.069759995
2022-05-01,23865443.069759995,1893939.0,25759382.069759995
2022-05-02,23865443.069759995,1893939.0,25759382.069759995
2022-05-03,23865443.069759995,1900252.13,25765695.199759994
2022-05-04,23865443.069759995,1912878.39,25778321.459759995
2022-05-05,23865443.069759995,1919191.52,25784634.589759994
2022-05-06,23865443.069759995,1900252.13,25765695.199759994
2022-05-07,23865443.069759995,1900252.13,25765695.199759994
2022-05-08,23865443.069759995,1900252.13,25765695.199759994
2022-05-09,23865443.069759995,1900252.13,25765695.199759994
2022-05-10,23865443.069759995,1862373.35,25727816.419759996
2022-05-11,23865443.069759995,1881312.74,25746755.809759993
2022-05-12,23865443.069759995,1862373.35,25727816.419759996
2022-05-13,23865443.069759995,1881312.74,25746755.809759993
2022-05-14,23865443.069759995,1881312.74,25746755.809759993
2022-05-15,23865443.069759995,1881312.74,25746755.809759993
2022-05-16,23865443.069759995,1887625.87,25753068.939759996
2022-05-17,23865443.069759995,1919191.52,25784634.589759994
2022-05-18,23865443.069759995,1925504.65,25790947.719759993
2022-05-19,23865443.069759995,1912878.39,25778321.459759995
2022-05-20,23865443.069759995,1950757.17,25816200.239759997
2022-05-21,23865443.069759995,1950757.17,25816200.239759997
2022-05-22,23865443.069759995,1950757.17,25816200.239759997
2022-05-23,23865443.069759995,1938130.91,25803573.979759995
2022-05-24,23865443.069759995,1938130.91,25803573.979759995
2022-05-25,23865443.069759995,1988635.95,25854079.019759994
2022-05-26,23865443.069759995,1982322.82,25847765.889759995
2022-05-27,23865443.069759995,2007575.34,25873018.409759995
2022-05-28,23865443.069759995,2007575.34,25873018.409759995
2022-05-29,23865443.069759995,2007575.34,25873018.409759995
2022-05-30,23865443.069759995,2020201.6,25885644.669759996
2022-05-31,23865443.069759995,2020201.6,25885644.669759996
2022-06-01,23865443.069759995,2007575.34,25873018.409759995
2022-06-02,23865443.069759995,1988635.95,25854079.019759994
2022-06-03,23865443.069759995,1988635.95,25854079.019759994
2022-06-04,23865443.069759995,1988635.95,25854079.019759994
2022-06-05,23865443.069759995,1988635.95,25854079.019759994
2022-06-06,23865443.069759995,2026514.73,25891957.799759995
2022-06-07,23865443.069759995,2007575.34,25873018.409759995
2022-06-08,23865443.069759995,2032827.86,25898270.929759994
2022-06-09,23865443.069759995,2020201.6,25885644.669759996
2022-06-10,23865443.069759995,1976009.69,25841452.759759996
2022-06-11,23865443.069759995,1976009.69,25841452.759759996
2022-06-12,23865443.069759995,1976009.69,25841452.759759996
2022-06-13,23865443.069759995,1944444.04,25809887.109759994
2022-06-14,23865443.069759995,1938130.91,25803573.979759995
2022-06-15,23865443.069759995,1906565.26,25772008.329759996
2022-06-16,23865443.069759995,1874999.61,25740442.679759994
2022-06-17,23865443.069759995,1868686.48,25734129.549759995
2022-06-18,23865443.069759995,1868686.48,25734129.549759995
2022-06-19,23865443.069759995,1868686.48,25734129.549759995
2022-06-20,25692589.154359996,0.0,25692589.154359996
2022-10-06,1664902.940839998,23979726.76,25644629.70084
2022-10-07,1664902.940839998,22765095.430000003,24429998.37084
2022-10-08,1664902.940839998,22765095.430000003,24429998.37084
2022-10-09,1664902.940839998,22765095.430000003,24429998.37084
2022-10-10,3044790.505099998,20912363.529999997,23957154.035099994
2022-10-11,4460367.357739998,19357730.009999998,23818097.367739998
2022-10-12,7313652.691059998,16404293.120000001,23717945.81106
2022-10-13,7313652.691059998,16361455.059999999,23675107.751059998
2022-10-14,10402783.83748,13362490.24,23765274.07748
2022-10-15,10402783.83748,13362490.24,23765274.07748
2022-10-16,10402783.83748,13362490.24,23765274.07748
2022-10-17,877674.5933799983,22992928.519999996,23870603.113379993
2022-10-18,877674.5933799983,23322176.089999996,24199850.683379993
2022-10-19,877674.5933799983,22939607.26,23817281.85338
2022-10-20,2458857.3304999983,20963471.76,23422329.0905
2022-10-21,5461573.732759999,18353856.09,23815429.82276
2022-10-22,5461573.732759999,18353856.09,23815429.82276
2022-10-23,5461573.732759999,18353856.09,23815429.82276
2022-10-24,5461573.732759999,17319452.7,22781026.43276
2022-10-25,11203465.17628,11832948.88,23036414.056280002
2022-10-26,11203465.17628,11756364.25,22959829.42628
2022-10-27,11203465.17628,11669466.75,22872931.92628
2022-10-28,12835177.51168,9916472.61,22751650.12168
2022-10-29,12835177.51168,9916472.61,22751650.12168
2022-10-30,12835177.51168,9916472.61,22751650.12168
2022-10-31,12835177.51168,9664531.68,22499709.19168
2022-11-01,17435787.10318,5112961.82,22548748.92318
2022-11-02,866994.7112799999,21573257.83,22440252.541279998
2022-11-03,866994.7112799999,22001219.360000003,22868214.071280003
2022-11-04,866994.7112799999,23414075.85,24281070.56128
2022-11-05,866994.7112799999,23414075.85,24281070.56128
2022-11-06,866994.7112799999,23414075.85,24281070.56128
2022-11-07,866994.7112799999,24597512.71,25464507.42128
2022-11-08,866994.7112799999,24743574.98,25610569.69128
2022-11-09,866994.7112799999,25645910.369999997,26512905.081279997
2022-11-10,866994.7112799999,25377462.92,26244457.63128
2022-11-11,2656687.43272,27613116.41,30269803.842720002
2022-11-12,2656687.43272,27613116.41,30269803.842720002
2022-11-13,2656687.43272,27613116.41,30269803.842720002
2022-11-14,2656687.43272,30348974.71,33005662.14272
2022-11-15,2656687.43272,31432081.32,34088768.75272
2022-11-16,2656687.43272,29411844.36,32068531.792719997
2022-11-17,14680174.51822,17105350.6,31785525.11822
2022-11-18,14680174.51822,16954143.31,31634317.82822
2022-11-19,14680174.51822,16954143.31,31634317.82822
2022-11-20,14680174.51822,16954143.31,31634317.82822
