stockno,entry_date,entry_price,exit_date,exit_price,hold_days,profit_rate,max_float_rate,max_float_date,min_float_rate,min_float_date,exit_type
00813,2022-03-17,4.64,2022-03-22,4.73,5,0.015327104411866133,0.12715517241379337,2022-03-18,0.0,2022-03-17,Normal_Sell
01918,2022-03-17,4.51,2022-03-25,4.9,8,0.0821372775513276,0.40133037694013307,2022-03-18,0.0,2022-03-17,Normal_Sell
00836,2022-03-17,13.67,2022-03-28,12.82,11,-0.06592374869865236,0.01609363569861011,2022-03-22,-0.07681053401609372,2022-03-25,Normal_Sell
00189,2022-03-17,8.11,2022-03-29,9.34,12,0.14706714807130505,0.2540073982737363,2022-03-24,0.0,2022-03-17,Normal_Sell
00751,2022-03-17,3.68,2022-04-04,3.58,18,-0.031057450316757662,0.07336956521739135,2022-03-24,-0.04076086956521752,2022-04-01,Normal_Sell
00992,2022-03-17,7.04,2022-04-08,7.67,22,0.08513938033024848,0.16619318181818188,2022-04-04,0.0,2022-03-17,Normal_Sell
01810,2022-03-17,14.5,2022-04-08,13.36,22,-0.08229885057471265,0.0193103448275862,2022-03-23,-0.0772413793103448,2022-03-21,Normal_Sell
00175,2022-03-17,11.77,2022-04-12,10.62,26,-0.10130800421247577,0.01274426508071369,2022-03-30,-0.10875106202209006,2022-04-11,Normal_Sell
01928,2022-03-17,17.9,2022-04-12,17.08,26,-0.04961919735947096,0.07932960893854757,2022-03-30,-0.03910614525139666,2022-04-11,Normal_Sell
02007,2022-03-17,4.84,2022-04-13,5.87,27,0.207968360799063,0.334710743801653,2022-04-08,0.0,2022-03-17,Normal_Sell
03323,2022-03-17,6.83,2022-04-21,7.66,35,0.1170455574940894,0.2342606149341142,2022-04-08,0.0,2022-03-17,Normal_Sell
03993,2022-03-17,3.53,2022-04-25,3.92,39,0.10604852617710758,0.23229461756373926,2022-04-14,0.0,2022-03-17,Normal_Sell
01299,2022-03-17,75.38,2022-04-26,69.82,40,-0.07745718433125803,0.05505439108516863,2022-04-08,-0.06248341735208274,2022-04-25,Normal_Sell
02628,2022-03-17,10.31,2022-04-26,9.99,40,-0.0349059398177457,0.047526673132880726,2022-04-04,-0.036857419980601436,2022-04-25,Normal_Sell
00386,2022-03-17,2.64,2022-06-20,2.9,95,0.09409967942902075,0.21969696969696972,2022-06-08,0.0,2022-03-17,Normal_Sell
00884,2022-10-06,0.83,2022-10-10,0.67,4,-0.19599355505855753,0.0,2022-10-06,-0.20481927710843362,2022-10-07,Normal_Sell
02333,2022-10-06,8.61,2022-10-11,7.13,5,-0.1751989632813351,0.0,2022-10-06,-0.16376306620209047,2022-10-10,Normal_Sell
02007,2022-10-06,1.96,2022-10-12,1.6,6,-0.1869322579331133,0.0,2022-10-06,-0.1785714285714285,2022-10-11,Normal_Sell
03323,2022-10-06,5.64,2022-10-12,4.81,6,-0.15056765900822477,0.0,2022-10-06,-0.14184397163120566,2022-10-11,Normal_Sell
00175,2022-10-06,10.79,2022-10-14,9.59,8,-0.11476213467411789,0.0,2022-10-06,-0.13067655236329923,2022-10-13,Normal_Sell
01810,2022-10-06,9.43,2022-10-14,8.66,8,-0.08532034552316359,0.0,2022-10-06,-0.09650053022269356,2022-10-13,Normal_Sell
00884,2022-10-17,0.56,2022-10-20,0.56,3,-0.003992015968063867,0.0714285714285714,2022-10-18,0.0,2022-10-17,Normal_Sell
00175,2022-10-17,9.65,2022-10-21,8.95,4,-0.07624129978385197,0.01968911917098448,2022-10-18,-0.0766839378238342,2022-10-20,Normal_Sell
09988,2022-10-17,69.66,2022-10-21,67.68,4,-0.03230232042375192,0.053402239448751,2022-10-18,-0.031151306345104768,2022-10-20,Normal_Sell
02007,2022-10-17,1.44,2022-10-25,1.32,8,-0.08699268130405846,0.0,2022-10-17,-0.09722222222222221,2022-10-24,Normal_Sell
02380,2022-10-06,2.87,2022-10-25,2.5,19,-0.1323972264530172,0.0034843205574912606,2022-10-18,-0.1324041811846689,2022-10-24,Normal_Sell
03800,2022-10-17,2.16,2022-10-25,1.94,8,-0.10543727360094635,0.01388888888888884,2022-10-18,-0.10648148148148162,2022-10-24,Normal_Sell
06098,2022-10-17,8.55,2022-10-25,7.48,8,-0.12863862917439972,0.005847953216374213,2022-10-18,-0.14619883040935677,2022-10-24,Normal_Sell
00902,2022-10-06,3.3,2022-10-28,3.15,22,-0.049265106151333726,0.12424242424242427,2022-10-18,-0.045454545454545414,2022-10-27,Normal_Sell
00939,2022-10-06,3.99,2022-11-01,3.57,26,-0.10883496165563622,0.0,2022-10-06,-0.1127819548872181,2022-10-31,Normal_Sell
01398,2022-10-06,3.26,2022-11-01,2.95,26,-0.09870443162754239,0.0,2022-10-06,-0.10429447852760731,2022-10-31,Normal_Sell
01919,2022-10-06,5.54,2022-11-01,4.94,26,-0.11186291676574633,0.0,2022-10-06,-0.10830324909747291,2022-10-31,Normal_Sell
00175,2022-11-02,8.5,2022-11-11,10.14,9,0.1881789362451569,0.23411764705882354,2022-11-08,0.0,2022-11-02,Normal_Sell
00884,2022-11-02,0.4,2022-11-17,1.23,15,2.0627245508982033,2.5999999999999996,2022-11-15,0.0,2022-11-02,Normal_Sell
02007,2022-11-02,1.05,2022-11-17,2.7,15,1.561163387510693,2.1047619047619044,2022-11-14,0.0,2022-11-02,Normal_Sell
06098,2022-11-02,6.55,2022-11-17,15.51,15,1.3584860812725696,1.6992366412213742,2022-11-15,0.0,2022-11-02,Normal_Sell
03800,2022-11-02,2.06,2022-11-23,2.15,21,0.039522895955661275,0.14563106796116498,2022-11-15,-0.01941747572815533,2022-11-03,Normal_Sell
02380,2022-11-02,2.3,2022-12-05,2.57,33,0.11293066041829403,0.21739130434782616,2022-11-28,0.0,2022-11-02,Normal_Sell
00902,2022-11-02,2.71,2022-12-08,3.23,36,0.18712390716721528,0.32472324723247237,2022-11-24,-0.01845018450184499,2022-11-03,Normal_Sell
00992,2022-10-06,5.41,2022-12-08,5.79,63,0.06596787939831983,0.18299445471349363,2022-11-15,-0.05914972273567476,2022-10-13,Normal_Sell
01171,2023-01-03,8.74,2023-02-07,8.96,35,0.021079123218094686,0.12471395881006853,2023-01-16,-0.035469107551487467,2023-01-05,Normal_Sell
03690,2023-01-19,161.0,2023-02-07,165.0,19,0.02075352400788466,0.11863354037267082,2023-02-01,0.0,2023-01-19,Normal_Sell
00004,2023-01-17,20.6,2023-02-08,19.05,22,-0.07893436428114642,0.004368932038834927,2023-01-26,-0.08058252427184465,2023-02-07,Normal_Sell
01833,2023-02-02,21.15,2023-02-16,19.12,14,-0.09958994540469868,0.0,2023-02-02,-0.09881796690307332,2023-02-15,Normal_Sell
02269,2023-02-08,64.45,2023-02-17,57.6,9,-0.10985166981785077,0.019394879751745586,2023-02-09,-0.10240496508921648,2023-02-16,Normal_Sell
01177,2023-02-08,4.39,2023-02-23,4.06,15,-0.07886277558777655,0.009111617312072884,2023-02-09,-0.0751708428246014,2023-02-22,Normal_Sell
00939,2022-11-02,3.54,2023-02-28,4.13,118,0.16200931470392543,0.2627118644067796,2023-01-27,-0.005649717514124353,2022-11-03,Normal_Sell
01398,2022-11-02,2.93,2023-02-28,3.39,118,0.1523778381802945,0.2559726962457338,2023-01-27,-0.010238907849829393,2022-11-03,Normal_Sell
01109,2023-02-08,32.76,2023-03-13,31.58,33,-0.03986776142464765,0.0482295482295485,2023-03-07,-0.036019536019536,2023-02-28,Normal_Sell
01810,2023-02-24,12.06,2023-03-13,11.42,17,-0.05684816105765256,0.046434494195688014,2023-03-03,-0.05804311774461035,2023-03-10,Normal_Sell
02020,2023-02-20,101.52,2023-03-13,98.22,21,-0.03636816202111137,0.0650118203309693,2023-03-03,-0.03821907013396375,2023-03-10,Normal_Sell
02628,2023-02-09,12.34,2023-03-13,11.92,32,-0.037891801486168664,0.05672609400324147,2023-03-02,-0.03241491085899517,2023-03-10,Normal_Sell
00836,2023-03-01,14.68,2023-03-15,14.55,14,-0.012812250159082272,0.06539509536784749,2023-03-06,-0.023160762942779245,2023-03-14,Normal_Sell
00883,2022-12-12,8.53,2023-03-17,9.94,95,0.16064705290474146,0.26494724501758493,2023-03-07,0.0,2022-12-12,Normal_Sell
01171,2023-02-17,8.1,2023-03-17,8.03,28,-0.012599492373278065,0.11358024691358026,2023-02-23,-0.01851851851851849,2023-03-16,Normal_Sell
00728,2023-01-03,2.83,2023-03-27,3.77,83,0.32683749109554716,0.4558303886925794,2023-03-13,0.0,2023-01-03,Normal_Sell
01918,2023-04-13,1.93,2023-04-20,1.84,7,-0.05043798413535605,0.020725388601036343,2023-04-17,-0.05699481865284972,2023-04-19,Normal_Sell
02015,2023-03-14,88.95,2023-04-21,90.3,38,0.011124462710329741,0.14221472737492968,2023-04-17,-0.05115233277121978,2023-03-16,Normal_Sell
00669,2023-03-01,75.85,2023-04-26,78.17,56,0.02647256574524004,0.10784442979564934,2023-04-03,0.0,2023-03-01,Normal_Sell
00992,2023-01-19,5.72,2023-04-26,7.63,97,0.3285910696090337,0.4720279720279721,2023-04-17,0.0,2023-01-19,Normal_Sell
01177,2023-04-11,4.06,2023-04-26,4.06,15,-0.003992015968063867,0.100985221674877,2023-04-13,0.0,2023-04-11,Normal_Sell
00027,2023-03-14,51.71,2023-05-09,52.5,56,0.011224505157158227,0.11487139818216985,2023-04-20,-0.04099787275188549,2023-03-20,Normal_Sell
00291,2023-04-27,60.02,2023-05-10,53.48,13,-0.11252070999620234,0.0,2023-04-27,-0.11212929023658791,2023-05-09,Normal_Sell
00868,2023-03-14,13.28,2023-05-10,12.48,57,-0.06399249693384312,0.03990963855421703,2023-04-18,-0.07228915662650592,2023-04-06,Normal_Sell
01179,2023-04-27,35.62,2023-05-10,32.12,13,-0.10185916768372294,0.0,2023-04-27,-0.09825940482874795,2023-05-09,Normal_Sell
09961,2023-04-27,276.4,2023-05-10,252.8,13,-0.08903466583475572,0.0,2023-04-27,-0.09117221418234445,2023-05-09,Normal_Sell
02020,2023-04-24,96.96,2023-05-11,87.26,17,-0.10363390380954263,0.0,2023-04-24,-0.10004125412541243,2023-05-10,Normal_Sell
02338,2023-04-27,10.77,2023-05-15,11.37,18,0.05149589400586008,0.18848653667595183,2023-05-04,0.0,2023-04-27,Normal_Sell
03311,2023-03-31,8.18,2023-05-15,8.66,45,0.05445344030764887,0.17481662591687042,2023-05-04,-0.004889975550122161,2023-04-01,Normal_Sell
00868,2023-05-11,12.76,2023-05-23,11.21,12,-0.12498044663025043,0.0,2023-05-11,-0.1214733542319748,2023-05-22,Normal_Sell
02628,2023-03-14,12.12,2023-05-24,13.17,71,0.08229580443074247,0.19141914191419152,2023-05-08,-0.05775577557755773,2023-03-30,Normal_Sell
03988,2022-10-06,2.27,2023-05-29,2.67,235,0.17151599883932578,0.29074889867841414,2023-05-08,-0.048458149779735615,2022-11-03,Normal_Sell
01818,2023-05-16,11.66,2023-05-30,10.88,14,-0.07062033736985718,0.0,2023-05-16,-0.07547169811320764,2023-05-29,Normal_Sell
01288,2022-10-06,2.09,2023-05-31,2.54,237,0.21045946384742487,0.33492822966507196,2023-05-08,-0.09090909090909094,2022-11-03,Normal_Sell
00386,2022-11-02,2.82,2023-06-01,4.29,211,0.5152036352826261,0.6950354609929079,2023-05-08,0.0,2022-11-02,Normal_Sell
00857,2022-11-02,2.71,2023-06-01,4.51,211,0.6575631025771336,0.8154981549815499,2023-05-18,0.0,2022-11-02,Normal_Sell
00027,2023-05-11,51.37,2023-06-02,47.66,22,-0.07592484876460825,0.0038933229511388667,2023-05-23,-0.08000778664590225,2023-06-01,Normal_Sell
01918,2023-06-05,1.32,2023-06-13,1.43,8,0.07900864936793073,0.21212121212121215,2023-06-08,0.0,2023-06-05,Normal_Sell
06878,2023-06-05,0.84,2023-06-20,0.89,15,0.05529417355764665,0.19047619047619047,2023-06-16,-0.03571428571428559,2023-06-07,Normal_Sell
