date,cash,holdings_value,total_asset
2022-03-17,6.5534799988381565,24950093.259999998,24950099.813479997
2022-03-18,6.5534799988381565,26382871.959999997,26382878.513479996
2022-03-19,6.5534799988381565,26382871.959999997,26382878.513479996
2022-03-20,6.5534799988381565,26382871.959999997,26382878.513479996
2022-03-21,6.5534799988381565,25876870.919999998,25876877.473479997
2022-03-22,6.5534799988381565,26384901.79,26384908.34348
2022-03-23,1428120.6014799986,25170496.880000003,26598617.481480002
2022-03-24,1428120.6014799986,24831763.03,26259883.63148
2022-03-25,3235289.1212799987,22389501.55,25624790.67128
2022-03-26,3235289.1212799987,22389501.55,25624790.67128
2022-03-27,3235289.1212799987,22389501.55,25624790.67128
2022-03-28,4795190.286839998,20926225.85,25721416.13684
2022-03-29,6710786.796079998,19220669.54,25931456.336079996
2022-03-30,6710786.796079998,19778051.66,26488838.456079997
2022-03-31,6710786.796079998,19555664.07,26266450.866079997
2022-04-01,6710786.796079998,19610732.130000003,26321518.92608
2022-04-02,6710786.796079998,19610732.130000003,26321518.92608
2022-04-03,6710786.796079998,19610732.130000003,26321518.92608
2022-04-04,8328918.886399998,18562530.23,26891449.1164
2022-04-05,8328918.886399998,18562530.23,26891449.1164
2022-04-06,8328918.886399998,18272046.45,26600965.3364
2022-04-07,8328918.886399998,17950194.56,26279113.446399998
2022-04-08,11673652.273879997,14877224.170000002,26550876.44388
2022-04-09,11673652.273879997,14877224.170000002,26550876.44388
2022-04-10,11673652.273879997,14877224.170000002,26550876.44388
2022-04-11,11673652.273879997,14317962.31,25991614.58388
2022-04-12,14761579.003959997,11179937.760000002,25941516.763959996
2022-04-13,16778882.551479995,9321838.709999999,26100721.261479996
2022-04-14,16778882.551479995,9405565.91,26184448.461479995
2022-04-15,16778882.551479995,9405565.91,26184448.461479995
2022-04-16,16778882.551479995,9405565.91,26184448.461479995
2022-04-17,16778882.551479995,9405565.91,26184448.461479995
2022-04-18,16778882.551479995,9405565.91,26184448.461479995
2022-04-19,16778882.551479995,9248217.84,26027100.391479995
2022-04-20,16778882.551479995,9096253.04,25875135.591479994
2022-04-21,18644345.009759996,7148707.96,25793052.969759997
2022-04-22,18644345.009759996,7123792.699999999,25768137.709759995
2022-04-23,18644345.009759996,7123792.699999999,25768137.709759995
2022-04-24,18644345.009759996,7123792.699999999,25768137.709759995
2022-04-25,20491443.968639996,5042747.46,25534191.428639997
2022-04-26,23643780.311339993,1856060.22,25499840.53133999
2022-04-27,23643780.311339993,1856060.22,25499840.53133999
2022-04-28,23643780.311339993,1887625.87,25531406.181339994
2022-04-29,23643780.311339993,1893939.0,25537719.311339993
2022-04-30,23643780.311339993,1893939.0,25537719.311339993
2022-05-01,23643780.311339993,1893939.0,25537719.311339993
2022-05-02,23643780.311339993,1893939.0,25537719.311339993
2022-05-03,23643780.311339993,1900252.13,25544032.441339992
2022-05-04,23643780.311339993,1912878.39,25556658.701339994
2022-05-05,23643780.311339993,1919191.52,25562971.831339993
2022-05-06,23643780.311339993,1900252.13,25544032.441339992
2022-05-07,23643780.311339993,1900252.13,25544032.441339992
2022-05-08,23643780.311339993,1900252.13,25544032.441339992
2022-05-09,23643780.311339993,1900252.13,25544032.441339992
2022-05-10,23643780.311339993,1862373.35,25506153.661339995
2022-05-11,23643780.311339993,1881312.74,25525093.05133999
2022-05-12,23643780.311339993,1862373.35,25506153.661339995
2022-05-13,23643780.311339993,1881312.74,25525093.05133999
2022-05-14,23643780.311339993,1881312.74,25525093.05133999
2022-05-15,23643780.311339993,1881312.74,25525093.05133999
2022-05-16,23643780.311339993,1887625.87,25531406.181339994
2022-05-17,23643780.311339993,1919191.52,25562971.831339993
2022-05-18,23643780.311339993,1925504.65,25569284.96133999
2022-05-19,23643780.311339993,1912878.39,25556658.701339994
2022-05-20,23643780.311339993,1950757.17,25594537.48133999
2022-05-21,23643780.311339993,1950757.17,25594537.48133999
2022-05-22,23643780.311339993,1950757.17,25594537.48133999
2022-05-23,23643780.311339993,1938130.91,25581911.221339993
2022-05-24,23643780.311339993,1938130.91,25581911.221339993
2022-05-25,23643780.311339993,1988635.95,25632416.261339992
2022-05-26,23643780.311339993,1982322.82,25626103.131339993
2022-05-27,23643780.311339993,2007575.34,25651355.651339993
2022-05-28,23643780.311339993,2007575.34,25651355.651339993
2022-05-29,23643780.311339993,2007575.34,25651355.651339993
2022-05-30,23643780.311339993,2020201.6,25663981.911339995
2022-05-31,23643780.311339993,2020201.6,25663981.911339995
2022-06-01,23643780.311339993,2007575.34,25651355.651339993
2022-06-02,23643780.311339993,1988635.95,25632416.261339992
2022-06-03,23643780.311339993,1988635.95,25632416.261339992
2022-06-04,23643780.311339993,1988635.95,25632416.261339992
2022-06-05,23643780.311339993,1988635.95,25632416.261339992
2022-06-06,23643780.311339993,2026514.73,25670295.041339993
2022-06-07,23643780.311339993,2007575.34,25651355.651339993
2022-06-08,23643780.311339993,2032827.86,25676608.171339992
2022-06-09,23643780.311339993,2020201.6,25663981.911339995
2022-06-10,23643780.311339993,1976009.69,25619790.001339994
2022-06-11,23643780.311339993,1976009.69,25619790.001339994
2022-06-12,23643780.311339993,1976009.69,25619790.001339994
2022-06-13,23643780.311339993,1944444.04,25588224.351339992
2022-06-14,23643780.311339993,1938130.91,25581911.221339993
2022-06-15,23643780.311339993,1906565.26,25550345.571339995
2022-06-16,23643780.311339993,1874999.61,25518779.921339992
2022-06-17,23643780.311339993,1868686.48,25512466.791339993
2022-06-18,23643780.311339993,1868686.48,25512466.791339993
2022-06-19,23643780.311339993,1868686.48,25512466.791339993
2022-06-20,25470926.395939995,0.0,25470926.395939995
2022-10-06,1650555.7960399997,23772824.95,25423380.746039998
2022-10-07,1650555.7960399997,22853047.87,24503603.66604
2022-10-08,1650555.7960399997,22853047.87,24503603.66604
2022-10-09,1650555.7960399997,22853047.87,24503603.66604
2022-10-10,1650555.7960399997,22290870.009999998,23941425.806039996
2022-10-11,3053914.9230999993,20710782.779999997,23764697.703099996
2022-10-12,5882584.9856199995,17770550.08,23653135.065619998
2022-10-13,7387360.85272,16220290.350000001,23607651.20272
2022-10-14,10449836.89618,13247202.629999999,23697039.52618
2022-10-15,10449836.89618,13247202.629999999,23697039.52618
2022-10-16,10449836.89618,13247202.629999999,23697039.52618
2022-10-17,952121.9813800005,22849228.450000003,23801350.431380004
2022-10-18,952121.9813800005,23161961.639999997,24114083.621379998
2022-10-19,952121.9813800005,22830732.590000004,23782854.571380004
2022-10-20,952121.9813800005,22426787.25,23378909.23138
2022-10-21,3946173.418300001,19879327.05,23825500.4683
2022-10-22,3946173.418300001,19879327.05,23825500.4683
2022-10-23,3946173.418300001,19879327.05,23825500.4683
2022-10-24,3946173.418300001,18904481.599999998,22850655.018299997
2022-10-25,9663007.696580002,13464444.24,23127451.936580002
2022-10-26,9663007.696580002,13474733.659999998,23137741.35658
2022-10-27,9663007.696580002,13400236.2,23063243.896580003
2022-10-28,11280642.543380002,11667026.1,22947668.64338
2022-10-29,11280642.543380002,11667026.1,22947668.64338
2022-10-30,11280642.543380002,11667026.1,22947668.64338
2022-10-31,11280642.543380002,11459200.330000002,22739842.873380005
2022-11-01,15841561.066100001,6991170.13,22832731.1961
2022-11-02,589312.085359999,22142861.599999998,22732173.685359996
2022-11-03,589312.085359999,22353980.6,22943292.68536
2022-11-04,589312.085359999,23804296.889999997,24393608.975359995
2022-11-05,589312.085359999,23804296.889999997,24393608.975359995
2022-11-06,589312.085359999,23804296.889999997,24393608.975359995
2022-11-07,589312.085359999,24840291.06,25429603.145359997
2022-11-08,589312.085359999,24888712.060000002,25478024.14536
2022-11-09,589312.085359999,25156217.8,25745529.88536
2022-11-10,589312.085359999,24747447.44,25336759.52536
2022-11-11,4450255.214379999,23127431.810000002,27577687.024380002
2022-11-12,4450255.214379999,23127431.810000002,27577687.024380002
2022-11-13,4450255.214379999,23127431.810000002,27577687.024380002
2022-11-14,4450255.214379999,25441172.840000004,29891428.054380003
2022-11-15,4450255.214379999,26231410.25,30681665.46438
2022-11-16,4450255.214379999,24948291.910000004,29398547.124380004
2022-11-17,11953830.828699999,17205830.07,29159660.8987
2022-11-18,11953830.828699999,17054179.05,29008009.8787
2022-11-19,11953830.828699999,17054179.05,29008009.8787
2022-11-20,11953830.828699999,17054179.05,29008009.8787
2022-11-21,11953830.828699999,17060289.29,29014120.118699998
2022-11-22,11953830.828699999,17159543.400000002,29113374.2287
2022-11-23,13539337.909799999,15803359.92,29342697.8298
2022-11-24,13539337.909799999,15991545.949999997,29530883.859799996
2022-11-25,13539337.909799999,16055493.48,29594831.389799997
2022-11-26,13539337.909799999,16055493.48,29594831.389799997
2022-11-27,13539337.909799999,16055493.48,29594831.389799997
2022-11-28,13539337.909799999,15903870.07,29443207.9798
2022-11-29,13539337.909799999,16168050.57,29707388.4798
2022-11-30,13539337.909799999,16322175.040000001,29861512.9498
2022-12-01,13539337.909799999,16031513.14,29570851.0498
2022-12-02,13539337.909799999,15823205.55,29362543.459799998
2022-12-03,13539337.909799999,15823205.55,29362543.459799998
2022-12-04,13539337.909799999,15823205.55,29362543.459799998
2022-12-05,15236808.42528,14326266.88,29563075.30528
2022-12-06,15236808.42528,14321080.280000001,29557888.70528
2022-12-07,15236808.42528,13991580.150000002,29228388.575280003
2022-12-08,18861134.40696,10418545.29,29279679.69696
2022-12-09,18861134.40696,10534827.54,29395961.94696
2022-12-10,18861134.40696,10534827.54,29395961.94696
2022-12-11,18861134.40696,10534827.54,29395961.94696
2022-12-12,16897490.10726,12466803.07,29364293.17726
2022-12-13,16897490.10726,12499423.46,29396913.56726
2022-12-14,16897490.10726,12559097.8,29456587.90726
2022-12-15,16897490.10726,12551642.23,29449132.33726
2022-12-16,16897490.10726,12569307.770000001,29466797.87726
2022-12-17,16897490.10726,12569307.770000001,29466797.87726
2022-12-18,16897490.10726,12569307.770000001,29466797.87726
2022-12-19,16897490.10726,12468754.489999998,29366244.59726
2022-12-20,16897490.10726,12415919.100000001,29313409.20726
2022-12-21,16897490.10726,12464505.34,29361995.44726
2022-12-22,16897490.10726,12584527.299999999,29482017.40726
2022-12-23,16897490.10726,12518832.620000001,29416322.72726
2022-12-24,16897490.10726,12518832.620000001,29416322.72726
2022-12-25,16897490.10726,12518832.620000001,29416322.72726
