Datetime,Open,High,Low,Close,Volume
2023-11-09,2.1800,3.9600,1.4200,1.6400,50720000.0
2023-11-10,1.5600,1.6000,1.4000,1.5000,7657500.0
2023-11-13,1.5400,1.5900,1.4000,1.4500,2675000.0
2023-11-14,1.4900,1.5000,1.4000,1.4500,1512500.0
2023-11-15,1.4800,1.5000,1.3200,1.3500,4205000.0
2023-11-16,1.3400,1.7100,1.3400,1.6100,12685000.0
2023-11-17,1.5500,1.7500,1.5500,1.6400,6407500.0
2023-11-20,1.6400,1.6400,1.4800,1.5200,2655000.0
2023-11-21,1.5200,1.5200,1.4000,1.4400,1755000.0
2023-11-22,1.4300,1.5200,1.4000,1.4500,2042500.0
2023-11-23,1.4700,1.5800,1.4500,1.5600,4677500.0
2023-11-24,1.5600,1.7300,1.5100,1.6300,8342500.0
2023-11-27,1.6800,2.0800,1.6800,2.0300,10502500.0
2023-11-28,1.9800,2.2700,1.9400,2.0600,6832500.0
2023-11-29,2.0600,2.3000,1.9500,2.2200,6515000.0
2023-11-30,2.2200,2.4800,2.1600,2.4000,6020000.0
2023-12-01,2.4000,2.5100,2.0200,2.0800,7542500.0
2023-12-04,2.0700,2.0800,1.8500,1.8600,3441500.0
2023-12-05,1.8300,2.0500,1.7000,2.0000,4954000.0
2023-12-06,2.0000,2.2700,1.9000,2.2300,4417500.0
2023-12-07,2.2300,2.5800,2.2300,2.5200,6420000.0
2023-12-08,2.5200,2.7900,2.3800,2.4400,5600000.0
2023-12-11,2.3900,2.5000,2.2800,2.4500,1890000.0
2023-12-12,2.4500,2.4600,2.3600,2.3700,745000.0
2023-12-13,2.3500,2.3600,2.0500,2.1100,2477500.0
2023-12-14,2.1000,2.4000,2.1000,2.3600,2642500.0
2023-12-15,2.4400,2.4700,2.3100,2.3200,1145000.0
2023-12-18,2.2400,2.3500,2.2300,2.2800,677500.0
2023-12-19,2.2500,2.2500,2.1000,2.1700,1312500.0
2023-12-20,2.1700,2.3500,2.1700,2.1900,717500.0
2023-12-21,2.1700,2.2400,2.1600,2.1900,1165000.0
2023-12-22,2.1900,2.1900,2.0500,2.0800,950000.0
2023-12-27,2.0600,2.3400,2.0600,2.2800,2110000.0
2023-12-28,2.2800,2.4000,2.1800,2.2100,857500.0
2023-12-29,2.1900,2.2000,2.1100,2.1400,1165000.0
