type,stock,entry_date,non_entry_price,hkt_entry_price,non_profit,hkt_profit,profit_diff
both,00001,2024-10-21,41.8,41.8,-0.053827751196172224,-0.053827751196172224,0.0
both,00002,2024-10-14,66.95,66.95,-0.08215085884988793,-0.08215085884988793,0.0
only_hkt,00002,2025-08-20,,65.42,,0.06389483338428614,
only_hkt,00003,2022-03-17,,9.83,,-0.11495422177009162,
both,00003,2024-10-17,6.16,6.16,0.1331168831168832,0.1331168831168832,0.0
both,00004,2023-01-17,20.6,20.6,-0.07524271844660202,-0.07524271844660202,0.0
only_hkt,00004,2023-04-27,,17.37,,-0.0702360391479564,
both,00005,2024-07-12,67.55,67.55,-0.06735751295336778,-0.06735751295336778,0.0
both,00006,2023-03-23,37.38,37.38,0.02594970572498667,0.02594970572498667,0.0
both,00006,2025-08-19,50.08,50.08,0.10123801916932917,0.10123801916932917,0.0
both,00012,2024-11-15,24.85,24.85,-0.0623742454728371,-0.0623742454728371,0.0
only_non,00016,2023-05-16,99.77,,-0.08429387591460358,,
both,00016,2023-08-08,87.96,87.96,-0.15029558890404726,-0.15029558890404726,0.0
both,00016,2025-08-20,90.6,90.6,0.038079470198675525,0.038079470198675525,0.0
both,00020,2023-06-05,2.24,2.24,-0.044642857142857206,-0.044642857142857206,0.0
both,00020,2023-08-23,1.52,1.52,-0.02631578947368418,-0.02631578947368418,0.0
both,00020,2024-09-13,1.04,1.04,0.8173076923076921,0.8173076923076921,0.0
both,00027,2023-03-14,51.71,51.71,0.01527750918584414,0.01527750918584414,0.0
both,00027,2023-05-11,51.37,51.37,-0.07222114074362473,-0.07222114074362473,0.0
both,00168,2025-05-02,54.9,54.9,-0.061020036429872526,-0.061020036429872526,0.0
both,00175,2022-03-17,11.77,11.77,-0.09770603228547159,-0.09770603228547159,0.0
both,00175,2022-10-06,10.79,10.79,-0.11121408711770153,-0.11121408711770153,0.0
both,00175,2022-10-17,9.65,9.65,-0.07253886010362709,-0.07253886010362709,0.0
both,00175,2022-11-02,8.5,8.5,0.1929411764705884,0.1929411764705884,0.0
both,00175,2025-01-06,14.38,14.38,0.11404728789986085,0.11404728789986085,0.0
