date,stockno,score,rank
2021-08-25,01398,1.01804,1
2021-08-25,01772,0.560992,2
2021-08-25,03988,0.517065,3
2021-08-25,00939,0.511833,4
2021-08-25,03800,0.508553,5
2021-08-25,00175,0.463296,6
2021-08-25,02202,0.459642,7
2021-08-25,00386,0.429981,8
2021-08-25,00836,0.413614,9
2021-08-25,01024,0.410308,10
2021-08-25,03323,0.400302,11
2021-08-25,06666,0.398473,12
2021-08-25,00354,0.398183,13
2021-08-25,00992,0.394321,14
2021-08-25,01378,0.392532,15
2021-08-25,00883,0.392304,16
2021-08-25,02196,0.390655,17
2021-08-25,00189,0.390323,18
2021-08-25,02013,0.390247,19
2021-08-25,00853,0.389508,20
2021-08-25,06878,0.388344,21
2021-08-25,00728,0.387955,22
2021-08-25,03998,0.385739,23
2021-08-25,06969,0.38513,24
2021-08-25,01109,0.377918,25
2021-08-25,06862,0.374368,26
2021-08-25,01066,0.372127,27
2021-08-25,01308,0.368193,28
2021-08-25,00688,0.363204,29
2021-08-25,02328,0.362029,30
2021-08-25,01171,0.361872,31
2021-08-25,01810,0.361774,32
2021-08-25,00460,0.357746,33
2021-08-25,06618,0.356312,34
2021-08-25,06098,0.355334,35
2021-08-25,00241,0.354474,36
2021-08-25,00960,0.35181,37
2021-08-25,00968,0.345808,38
2021-08-25,02319,0.339189,39
2021-08-25,00881,0.332145,40
2021-08-25,00708,0.331541,41
2021-08-25,00003,0.33021,42
2021-08-25,00732,0.324533,43
2021-08-25,00168,0.324233,44
2021-08-25,00857,0.324078,45
2021-08-25,00763,0.322683,46
2021-08-25,00268,0.312902,47
2021-08-25,00027,0.311756,48
2021-08-25,00285,0.309188,49
2021-08-25,02005,0.308362,50
2021-08-25,00345,0.306418,51
2021-08-25,03898,0.300756,52
2021-08-25,03968,0.295558,53
2021-08-25,00005,0.29535,54
2021-08-25,02388,0.294957,55
2021-08-25,00868,0.289831,56
2021-08-25,02777,0.273093,57
2021-08-25,03333,0.271186,58
2021-08-25,03993,0.258338,59
2021-08-25,00941,0.245042,60
2021-08-25,01288,0.232949,61
2021-08-25,01299,0.232894,62
2021-08-25,01919,0.229279,63
2021-08-25,09888,0.227442,64
2021-08-25,01177,0.226776,65
2021-08-25,09988,0.225447,66
2021-08-25,02318,0.222275,67
2021-08-25,02601,0.221202,68
2021-08-25,01833,0.214208,69
2021-08-25,09999,0.206437,70
2021-08-25,02331,0.20486,71
2021-08-25,03690,0.20452,72
2021-08-25,06186,0.203837,73
2021-08-25,00006,0.203501,74
2021-08-25,01999,0.202573,75
2021-08-25,01928,0.200175,76
2021-08-25,01044,0.191206,77
2021-08-25,01114,0.189555,78
2021-08-25,03888,0.189356,79
2021-08-25,01093,0.18773,80
2021-08-25,01801,0.187581,81
