date,stockno,score,rank
2021-11-23,03800,0.902629,1
2021-11-23,00857,0.696547,2
2021-11-23,03988,0.655796,3
2021-11-23,01398,0.636563,4
2021-11-23,00728,0.62005,5
2021-11-23,02380,0.60235,6
2021-11-23,00386,0.602239,7
2021-11-23,00939,0.599745,8
2021-11-23,01918,0.593192,9
2021-11-23,02600,0.59217,10
2021-11-23,01810,0.589683,11
2021-11-23,00883,0.58484,12
2021-11-23,01288,0.578934,13
2021-11-23,00189,0.574969,14
2021-11-23,03333,0.572884,15
2021-11-23,02328,0.571557,16
2021-11-23,00708,0.571136,17
2021-11-23,00902,0.570053,18
2021-11-23,00460,0.569279,19
2021-11-23,01919,0.564923,20
2021-11-23,01088,0.562699,21
2021-11-23,00175,0.562026,22
2021-11-23,00836,0.560788,23
2021-11-23,01171,0.558068,24
2021-11-23,02343,0.556309,25
2021-11-23,03323,0.556067,26
2021-11-23,02013,0.555064,27
2021-11-23,01093,0.553173,28
2021-11-23,02601,0.552572,29
2021-11-23,00732,0.551981,30
2021-11-23,00005,0.551889,31
2021-11-23,01928,0.551323,32
2021-11-23,01378,0.550664,33
2021-11-23,02007,0.549847,34
2021-11-23,02331,0.549445,35
2021-11-23,02628,0.549031,36
2021-11-23,03311,0.54689,37
2021-11-23,00916,0.546833,38
2021-11-23,01299,0.546802,39
2021-11-23,09901,0.546781,40
2021-11-23,00992,0.545588,41
2021-11-23,00241,0.544563,42
2021-11-23,00941,0.544109,43
2021-11-23,02005,0.544108,44
2021-11-23,03888,0.54328,45
2021-11-23,03993,0.543093,46
2021-11-23,00267,0.542888,47
2021-11-23,01302,0.542861,48
2021-11-23,02318,0.542064,49
2021-11-23,03998,0.541826,50
2021-11-23,01308,0.541257,51
2021-11-23,00688,0.539318,52
2021-11-23,06862,0.538347,53
2021-11-23,01066,0.53578,54
2021-11-23,03898,0.535615,55
2021-11-23,01109,0.534379,56
2021-11-23,01024,0.53368,57
2021-11-23,01368,0.533616,58
2021-11-23,00813,0.533192,59
2021-11-23,06969,0.532574,60
2021-11-23,01801,0.53218,61
2021-11-23,00968,0.531325,62
2021-11-23,02388,0.531036,63
2021-11-23,01999,0.530385,64
2021-11-23,03968,0.528972,65
2021-11-23,09988,0.528903,66
2021-11-23,01347,0.528782,67
2021-11-23,00003,0.528445,68
2021-11-23,06098,0.526563,69
2021-11-23,02777,0.526237,70
2021-11-23,02196,0.525731,71
2021-11-23,02319,0.524741,72
2021-11-23,00763,0.524604,73
2021-11-23,00960,0.524505,74
2021-11-23,00268,0.524441,75
2021-11-23,01772,0.522243,76
2021-11-23,06618,0.518939,77
2021-11-23,02238,0.516108,78
2021-11-23,00914,0.515651,79
2021-11-23,02899,0.513937,80
2021-11-23,00027,0.507378,81
2021-11-23,00012,0.499236,82
2021-11-23,01114,0.494936,83
2021-11-23,09999,0.489474,84
2021-11-23,09888,0.488562,85
2021-11-23,00291,0.487209,86
2021-11-23,00016,0.479089,87
2021-11-23,03690,0.4788,88
2021-11-23,00006,0.478137,89
2021-11-23,01833,0.475821,90
2021-11-23,02688,0.474658,91
2021-11-23,00001,0.474411,92
2021-11-23,09618,0.466833,93
