date,end_date,stockno,name,updatetime,source,rank,point
2021-08-09,2021-08-09,00175,None,2025-06-21 12:47:18,daily_rank,13,-0.0422091
2021-08-09,2021-08-09,00241,None,2025-06-21 12:47:18,daily_rank,24,-0.0875277
2021-08-09,2021-08-09,00354,None,2025-06-21 12:47:18,daily_rank,26,-0.0925624
2021-08-09,2021-08-09,00460,None,2025-06-21 12:47:18,daily_rank,30,-0.0988357
2021-08-09,2021-08-09,00728,None,2025-06-21 12:47:18,daily_rank,10,-0.0355599
2021-08-09,2021-08-09,00732,None,2025-06-21 12:47:18,daily_rank,5,0.103893
2021-08-09,2021-08-09,00762,None,2025-06-21 12:47:18,daily_rank,17,-0.0516313
2021-08-09,2021-08-09,00836,None,2025-06-21 12:47:18,daily_rank,16,-0.0464345
2021-08-09,2021-08-09,00939,None,2025-06-21 12:47:18,daily_rank,23,-0.0810918
2021-08-09,2021-08-09,00968,None,2025-06-21 12:47:18,daily_rank,21,-0.0682632
2021-08-09,2021-08-09,00992,None,2025-06-21 12:47:18,daily_rank,19,-0.0571201
2021-08-09,2021-08-09,01109,None,2025-06-21 12:47:18,daily_rank,6,0.0479604
2021-08-09,2021-08-09,01288,None,2025-06-21 12:47:18,daily_rank,11,-0.0358122
2021-08-09,2021-08-09,01368,None,2025-06-21 12:47:18,daily_rank,20,-0.0607905
2021-08-09,2021-08-09,01398,None,2025-06-21 12:47:18,daily_rank,22,-0.0795825
2021-08-09,2021-08-09,01810,None,2025-06-21 12:47:18,daily_rank,1,0.477557
2021-08-09,2021-08-09,01951,None,2025-06-21 12:47:18,daily_rank,8,0.0132578
2021-08-09,2021-08-09,02196,None,2025-06-21 12:47:18,daily_rank,12,-0.0366072
2021-08-09,2021-08-09,02328,None,2025-06-21 12:47:18,daily_rank,25,-0.0911791
2021-08-09,2021-08-09,02331,None,2025-06-21 12:47:18,daily_rank,4,0.260686
2021-08-09,2021-08-09,02343,None,2025-06-21 12:47:18,daily_rank,18,-0.055102
2021-08-09,2021-08-09,02382,None,2025-06-21 12:47:18,daily_rank,14,-0.0441614
2021-08-09,2021-08-09,02601,None,2025-06-21 12:47:18,daily_rank,15,-0.0453672
2021-08-09,2021-08-09,03323,None,2025-06-21 12:47:18,daily_rank,29,-0.0968908
2021-08-09,2021-08-09,03888,None,2025-06-21 12:47:18,daily_rank,2,0.382456
2021-08-09,2021-08-09,03988,None,2025-06-21 12:47:18,daily_rank,27,-0.0960297
2021-08-09,2021-08-09,03993,None,2025-06-21 12:47:18,daily_rank,9,-0.0280265
2021-08-09,2021-08-09,06186,None,2025-06-21 12:47:18,daily_rank,3,0.266986
2021-08-09,2021-08-09,06969,None,2025-06-21 12:47:18,daily_rank,7,0.0289694
2021-08-09,2021-08-09,09888,None,2025-06-21 12:47:18,daily_rank,28,-0.0968134
2021-08-10,2021-08-10,00175,None,2025-06-21 12:47:18,daily_rank,22,-0.0638354
2021-08-10,2021-08-10,00241,None,2025-06-21 12:47:18,daily_rank,26,-0.0892863
2021-08-10,2021-08-10,00267,None,2025-06-21 12:47:18,daily_rank,28,-0.0926564
2021-08-10,2021-08-10,00354,None,2025-06-21 12:47:18,daily_rank,23,-0.074617
2021-08-10,2021-08-10,00728,None,2025-06-21 12:47:18,daily_rank,10,-0.0206044
2021-08-10,2021-08-10,00732,None,2025-06-21 12:47:18,daily_rank,5,0.108433
2021-08-10,2021-08-10,00762,None,2025-06-21 12:47:18,daily_rank,20,-0.0607257
2021-08-10,2021-08-10,00836,None,2025-06-21 12:47:18,daily_rank,18,-0.0552192
2021-08-10,2021-08-10,00968,None,2025-06-21 12:47:18,daily_rank,19,-0.0593277
2021-08-10,2021-08-10,00992,None,2025-06-21 12:47:18,daily_rank,16,-0.0451657
2021-08-10,2021-08-10,01109,None,2025-06-21 12:47:18,daily_rank,6,0.0584851
2021-08-10,2021-08-10,01288,None,2025-06-21 12:47:18,daily_rank,9,-0.0129847
2021-08-10,2021-08-10,01368,None,2025-06-21 12:47:18,daily_rank,15,-0.0443027
2021-08-10,2021-08-10,01398,None,2025-06-21 12:47:18,daily_rank,14,-0.0397322
2021-08-10,2021-08-10,01810,None,2025-06-21 12:47:18,daily_rank,1,0.481064
2021-08-10,2021-08-10,01951,None,2025-06-21 12:47:18,daily_rank,8,0.0272317
2021-08-10,2021-08-10,02196,None,2025-06-21 12:47:18,daily_rank,12,-0.0306063
2021-08-10,2021-08-10,02238,None,2025-06-21 12:47:18,daily_rank,29,-0.0970148
2021-08-10,2021-08-10,02328,None,2025-06-21 12:47:18,daily_rank,24,-0.0824195
2021-08-10,2021-08-10,02331,None,2025-06-21 12:47:18,daily_rank,4,0.249022
2021-08-10,2021-08-10,02343,None,2025-06-21 12:47:18,daily_rank,21,-0.0610981
2021-08-10,2021-08-10,02382,None,2025-06-21 12:47:18,daily_rank,17,-0.0514388
2021-08-10,2021-08-10,02601,None,2025-06-21 12:47:18,daily_rank,13,-0.033402
2021-08-10,2021-08-10,03333,None,2025-06-21 12:47:18,daily_rank,30,-0.0980049
2021-08-10,2021-08-10,03888,None,2025-06-21 12:47:18,daily_rank,2,0.38494
2021-08-10,2021-08-10,03988,None,2025-06-21 12:47:18,daily_rank,27,-0.0909824
2021-08-10,2021-08-10,03993,None,2025-06-21 12:47:18,daily_rank,11,-0.023461
2021-08-10,2021-08-10,06186,None,2025-06-21 12:47:18,daily_rank,3,0.266086
2021-08-10,2021-08-10,06969,None,2025-06-21 12:47:18,daily_rank,7,0.0418807
2021-08-10,2021-08-10,09888,None,2025-06-21 12:47:18,daily_rank,25,-0.0873624
2021-08-11,2021-08-11,00175,None,2025-06-21 12:47:18,daily_rank,23,-0.0678734
2021-08-11,2021-08-11,00267,None,2025-06-21 12:47:18,daily_rank,28,-0.0809565
2021-08-11,2021-08-11,00354,None,2025-06-21 12:47:18,daily_rank,21,-0.0582288
2021-08-11,2021-08-11,00386,None,2025-06-21 12:47:18,daily_rank,29,-0.0812852
2021-08-11,2021-08-11,00728,None,2025-06-21 12:47:18,daily_rank,11,-0.00301602
2021-08-11,2021-08-11,00762,None,2025-06-21 12:47:18,daily_rank,5,0.166638
2021-08-11,2021-08-11,00836,None,2025-06-21 12:47:18,daily_rank,18,-0.0556716
2021-08-11,2021-08-11,00857,None,2025-06-21 12:47:18,daily_rank,30,-0.0878447
2021-08-11,2021-08-11,00883,None,2025-06-21 12:47:18,daily_rank,7,0.052107
2021-08-11,2021-08-11,00968,None,2025-06-21 12:47:18,daily_rank,26,-0.0787291
2021-08-11,2021-08-11,00992,None,2025-06-21 12:47:18,daily_rank,17,-0.0488054
2021-08-11,2021-08-11,01109,None,2025-06-21 12:47:18,daily_rank,6,0.08635
2021-08-11,2021-08-11,01288,None,2025-06-21 12:47:18,daily_rank,12,-0.00408724
2021-08-11,2021-08-11,01368,None,2025-06-21 12:47:18,daily_rank,16,-0.0482582
2021-08-11,2021-08-11,01398,None,2025-06-21 12:47:18,daily_rank,19,-0.0571372
2021-08-11,2021-08-11,01810,None,2025-06-21 12:47:18,daily_rank,1,0.471659
2021-08-11,2021-08-11,01951,None,2025-06-21 12:47:18,daily_rank,8,0.0357031
2021-08-11,2021-08-11,02196,None,2025-06-21 12:47:18,daily_rank,14,-0.0275457
