证券代码,英文简称,中文简称(参考),品种
00001,CKH HOLDINGS,长和,股票
00002,CLP HOLDINGS,中电控股,股票
00003,HK & CHINA GAS,香港中华煤气,股票
00004,WHARF HOLDINGS,九龙仓集团,股票
00005,HSBC HOLDINGS,汇丰控股,股票
00006,POWER ASSETS,电能实业,股票
00008,PCCW,电讯盈科,股票
00010,HANG LUNG GROUP,恒隆集团,股票
00011,HANG SENG BANK,恒生银行,股票
00012,HENDERSON LAND,恒基地产,股票
00013,HUTCHMED,和黄医药,股票
00014,HYSAN DEV,希慎兴业,股票
00016,SHK PPT,新鸿基地产,股票
00017,NEW WORLD DEV,新世界发展,股票
00019,SWIRE PACIFIC A,太古股份公司Ａ,股票
00020,SENSETIME-W,商汤－Ｗ,股票
00027,GALAXY ENT,银河娱乐,股票
00038,FIRST TRACTOR,第一拖拉机股份,股票
00041,GREAT EAGLE H,鹰君,股票
00066,MTR CORPORATION,港铁公司,股票
00081,CH OVS G OCEANS,中国海外宏洋集团,股票
00083,SINO LAND,信和置业,股票
00087,SWIRE PACIFIC B,太古股份公司Ｂ,股票
00101,HANG LUNG PPT,恒隆地产,股票
00107,SICHUAN EXPRESS,四川成渝高速公路,股票
00119,POLY PROPERTY,保利置业集团,股票
00123,YUEXIU PROPERTY,越秀地产,股票
00135,KUNLUN ENERGY,昆仑能源,股票
00136,CHINA RUYI,中国儒意,股票
00142,FIRST PACIFIC,第一太平,股票
00144,CHINA MER PORT,招商局港口,股票
00148,KINGBOARD HLDG,建滔集团,股票
00151,WANT WANT CHINA,中国旺旺,股票
00152,SHENZHEN INT'L,深圳国际,股票
00165,CHINA EB LTD,中国光大控股,股票
00168,TSINGTAO BREW,青岛啤酒股份,股票
00173,K. WAH INT'L,嘉华国际,股票
00175,GEELY AUTO,吉利汽车,股票
00177,JIANGSU EXPRESS,江苏宁沪高速公路,股票
00179,JOHNSON ELEC H,德昌电机控股,股票
00187,JINGCHENG MAC,京城机电股份,股票
00189,DONGYUE GROUP,东岳集团,股票
00200,MELCO INT'L DEV,新濠国际发展,股票
00220,U-PRESID CHINA,统一企业中国,股票
00241,ALI HEALTH,阿里健康,股票
00257,EB ENVIRONMENT,光大环境,股票
00267,CITIC,中信股份,股票
00268,KINGDEE INT'L,金蝶国际,股票
00270,GUANGDONG INV,粤海投资,股票
00272,SHUI ON LAND,瑞安房地产,股票
00285,BYD ELECTRONIC,比亚迪电子,股票
00288,WH GROUP,万洲国际,股票
00291,CHINA RES BEER,华润啤酒,股票
00293,CATHAY PAC AIR,国泰航空,股票
00297,SINOFERT,中化化肥,股票
00300,MIDEA GROUP,美的集团,股票
00303,VTECH HOLDINGS,,股票
00308,CHINA TRAVEL HK,香港中旅,股票
00316,OOIL,东方海外国际,股票
00317,COMEC,中船防务,股票
00322,TINGYI,康师傅控股,股票
00323,MAANSHAN IRON,马鞍山钢铁股份,股票
00325,BLOKS,布鲁可,股票
00327,PAX GLOBAL,百富环球,股票
00336,HUABAO INTL,华宝国际,股票
00338,SHANGHAI PECHEM,上海石油化工股份,股票
00345,VITASOY INT'L,,股票
00347,ANGANG STEEL,鞍钢股份,股票
00354,CHINASOFT INT'L,中国软件国际,股票
00358,JIANGXI COPPER,江西铜业股份,股票
00363,SHANGHAI IND H,上海实业控股,股票
00371,BJ ENT WATER,北控水务集团,股票
00384,CHINA GAS HOLD,中国燃气,股票
00386,SINOPEC CORP,中国石油化工股份,股票
00388,HKEX,香港交易所,股票
00390,CHINA RAILWAY,中国中铁,股票
00392,BEIJING ENT,北京控股,股票
00425,MINTH GROUP,敏实集团,股票
00440,DAH SING,大新金融,股票
00460,SIHUAN PHARM,四环医药,股票
00467,UNITEDENERGY GP,联合能源集团,股票
00489,DONGFENG GROUP,东风集团股份,股票
